	Rattan_C
Calamus_applanatus_Henderson_3220_RBL159	0.040205095178766026
Calamus_fissilis_Henderson_3266_JSL024	0.04043586457919712
Calamus_eugenei_Henderson_3693_RBL233	0.0410779197299892
Calamus_eugenei_Henderson_3429_JSL199	0.04354385085798784
Calamus_mollispinus_Henderson_3667_JSL022	0.043969251445062585
Calamus_ocreatus_Nguyen_2006_JSL434	0.04399674727990888
Calamus_fissilis_Henderson_3289_BKL064	0.04649154377252096
Calamus_nuichuaensis_Henderson_3646_RBL100	0.04961157267414695
Calamus_ocreatus_Henderson_3862_RBL113	0.05101663199404749
Calamus_brevicaulis_Henderson_3861_RBL102	0.05147623897827169
Calamus_ruptiloides_Kuhnhäuser_75_RBL224	0.05193657963338283
Calamus_mollispinus_Henderson_3931_RBL116	0.05300020136123795
Calamus_geniculatus_Kuhnhäuser_25_JSL009	0.05388375907036891
Calamus_ruptilis_Wong_Dransfield_493_JSL438	0.05491813664856249
Calamus_longipes_Rajasegar_4_JSL045	0.056871970768624824
Calamus_melanochaetes_Nguyen_HNK_1853_JSL058	0.058280894227366487
Calamus_verticillaris_Cultivated_1991-1094_BKL012	0.058298969945643875
Calamus_hirsutus_subsp_korthalsii_Kuhnhäuser_33_JSL050	0.05846513079348847
Calamus_hallierianus_Watanabe_38_JSL089	0.059027226723541104
Calamus_subangulatus_Baker_500_BKL043	0.059213778172663156
Calamus_geniculatus_Kuhnhäuser_72_RBL195	0.05975403139213409
Calamus_cristatus_Kuhnhäuser_3_RBL164	0.05985388367887445
Calamus_tapanensis_Dransfield_4078_JSL513	0.06023200581160193
Calamus_calicarpus_Baker_506_BKL035	0.06076491154737773
Calamus_oxycoccus_Baker_523_BKL004	0.06151762448991649
Calamus_exiguus_Saw_FRI_44965_JSL437	0.061566762066644354
Calamus_longibracteatus_Kuhnhäuser_20_RBL172	0.061601404467050425
Calamus_ochrolepis_Adorador_94_BKL102	0.06169821418440469
Calamus_scapiger_Kuhnhäuser_18_RBL171	0.06173639100005868
Calamus_ursinus_Baker_517_BKL042	0.061745317974156166
Calamus_formicarius_Kuhnhäuser_69_RBL193	0.061961825891011846
Calamus_pseudoconcolor_Cultivated_1975-3398_RBL081	0.06279911815222472
Calamus_oblongus_subsp_mollis_Fernando_640_RBL281	0.06361572974515672
Calamus_asteracanthus_Johns_6521_BKL207	0.06364483462890047
Calamus_longipes_van_Valkenburg_1396_BKL267	0.06395943462829368
Calamus_unijugus_Dransfield_5894_BKL117	0.06397333146908157
Calamus_micracanthus_Kuhnhäuser_71_RBL194	0.06457975180759656
Calamus_ater_Eiserhardt_154_RBL343	0.06467824700192737
Calamus_oblongus_subsp_oblongus_Watanabe_49_RBL302	0.06516178876909595
Calamus_crinitus_subsp_sabut_Dransfield_4970_RBL290	0.06595143929027636
Calamus_ingens_Eiserhardt_155_RBL344	0.06681854965665912
Calamus_macropterus_Siebert_R_5_JSL304	0.06696755554953893
Calamus_loherianus_Elmer_11600_JSL442	0.06717683879159808
Calamus_longibracteatus_Moore_9103_JSL617	0.06778089924312969
Calamus_politus_Fernando_719_BKL192	0.06780917305648726
Calamus_ceratophorus_Henderson_3709_JSL001	0.06792608383657672
Calamus_crinitus_subsp_sabut_Avé_7_RBL304	0.06807562324653993
Calamus_calapparius_Baker_1386_BKL047	0.06819805033414184
Calamus_modestus_Du_HNK_3197_JSL015	0.06821404793542263
Calamus_hallierianus_Kuhnhäuser_37_RBL179	0.0682664539408806
Calamus_dianbaiensis_Henderson_3760_JSL017	0.06851521452333886
Calamus_oblongus_subsp_longistipes_Duaneh_136_RBL254	0.0685323675245132
Calamus_oblongus_subsp_depressiusculus_Dransfield_4135_RBL286	0.06879079515693132
Calamus_acamptostachys_Baker_703_RBL044	0.0688183544498352
Calamus_poilanei_Henderson_3369_JSL021	0.06888697868919103
Calamus_rudentum_Henderson_3734_JSL085	0.06893163704183058
Calamus_rudentum_Henderson_3607_JSL026	0.06911382243190511
Calamus_oblongus_subsp_elongatus_Stockdale_339_RBL249	0.06912106708709176
Calamus_sparsiflorus_Kuhnhäuser_51_RBL183	0.06915206014949282
Calamus_albidus_Henderson_4027_JSL028	0.06920341924637341
Calamus_lobbianus_Petoe_63_JSL014	0.0695838408783056
Calamus_pahangensis_Saw_FRI_44659_RBL309	0.06980072053410746
Calamus_diepenhorstii_Baker_725_BKL089	0.0700140389987719
Calamus_kunstleri_subsp_kunstleri_Baker_496_RBL012	0.07002894867440301
Calamus_cristatus_van_Valkenburg_1185_JSL280	0.07005842321278144
Calamus_tambingensis_Henderson_4276_BKL159	0.07016342999609415
Calamus_reinwardtii_Blume_62_BKL220	0.07020780769796864
Calamus_oblongus_subsp_similaris_Kuhnhäuser_62_RBL189	0.07026687222667327
Calamus_loherianus_Elmer_11757_RBL431	0.07026788907258286
Calamus_ornatus_Henderson_4233_JSL079	0.07029005206889294
Calamus_maculatus_Kuhnhäuser_39_RBL180	0.0709009627954672
Calamus_longisetus_Dransfield_5432_JSL453	0.07091094290910005
Calamus_pogonotium_Kuhnhäuser_58_RBL226	0.07091881388062027
Calamus_acamptostachys_Dransfield_6081_JSL327	0.0710264993654256
Calamus_koordersianus_Henderson_4269_JSL074	0.07132113256126582
Calamus_wuliangshanensis_Henderson_3116_JSL416	0.07138515199384665
Calamus_pycnocarpus_Dransfield_6510_JSL432	0.07147922740337187
Calamus_dumetosus_Dransfield_4403_JSL018	0.07152915881058486
Calamus_validus_Musser_R5_BKL118	0.0715680426444506
Calamus_kunstleri_subsp_microstachys_Kuhnhäuser_21_RBL173	0.07201532284242362
Calamus_rudentum_Henderson_3619_RBL096	0.07207430306694029
Calamus_nanduensis_Baker_678_RBL085	0.07215591271076183
Calamus_koordersianus_Kramadibrata_sn_BKL031	0.07230078331135592
Calamus_praetermissus_Baker_521_JSL041	0.07234452618074827
Calamus_rhomboideus_Baker_565_RBL084	0.07240529957618225
Calamus_flagellum_Nguyen_2022_JSL004	0.07247027207710433
Calamus_erioacanthus_Baker_520_JSL112	0.07266901901080358
Calamus_tetradactylus_Henderson_3652_JSL068	0.07271157913294923
Calamus_tetradactylus_Henderson_3808_JSL070	0.07275537611805671
Calamus_insolitus_Ridsdale_PBU_493_JSL610	0.07290452970655592
Calamus_micracanthus_Beccari_3644_JSL140	0.07301277361347824
Calamus_brunneus_Henderson_4358_JSL032	0.0730334717114246
Calamus_conirostris_Baker_516_JSL111	0.07306983189138094
Calamus_longispathus_Baker_493_RBL004	0.0731550193254411
Calamus_furvus_Meijer_7051_JSL611	0.07323943127957722
Calamus_seriatus_Henderson_3698_JSL023	0.07326017169839938
Calamus_sordidus_Baker_541_BKL030	0.07328485726281286
Calamus_lobatus_Henderson_4279_JSL048	0.07332550064051568
Calamus_trachycoleus_Baker_560_BKL020	0.07332860177001388
Calamus_didymocarpus_Henderson_4363_JSL046	0.07335237447345233
Calamus_cinereus_Henderson_3389_JSL020	0.07340557071372389
Calamus_flabellatus_Kuhnhäuser_17_JSL043	0.07346341922522182
Calamus_viridis_Henderson_4355_JSL033	0.07360059673103825
Calamus_myriacanthus_Kuhnhäuser_77_JSL006	0.07363360118101592
Calamus_posoanus_Henderson_4293_JSL034	0.0736724122605169
Calamus_caesius_Baker_547_JSL044	0.07368375134008787
Calamus_crinitus_subsp_crinitus_Dransfield_4633_JSL249	0.07371723810593345
Calamus_brunneus_Henderson_4281_RBL240	0.07373324236000367
Calamus_hirsutus_subsp_korthalsii_Dransfield_5125_JSL292	0.07380954772054804
Calamus_didymocarpus_Henderson_4283_JSL037	0.0738786031650619
Calamus_leptostachys_Henderson_4383_JSL075	0.07393302888629527
Calamus_serpentinus_Dransfield_5734_JSL320	0.07398072645533815
Calamus_formicarius_Dransfield_4684_JSL615	0.07401731895143848
Calamus_validus_Mogea_1356_JSL591	0.07405372473066918
